After iteration 0:
Gaussian 7: mean = 4941.9340, variance = 8119448.4437, prior = 0.1110
Gaussian 8: mean = 5142.6133, variance = 8127585.2015, prior = 0.1103
Gaussian 9: mean = 5008.8379, variance = 8131111.6467, prior = 0.1111

After iteration 14:
Gaussian 1: mean = 4881.7001, variance = 8101280.8106, prior = 0.1121
Gaussian 2: mean = 4494.8477, variance = 7816064.4169, prior = 0.1112
Gaussian 3: mean = 5325.4225, variance = 8065185.0569, prior = 0.1110
Gaussian 4: mean = 4648.2602, variance = 7963532.5536, prior = 0.1111
Gaussian 5: mean = 5258.0800, variance = 8095860.0148, prior = 0.1112
Gaussian 6: mean = 4839.3406, variance = 8084211.9109, prior = 0.1110
Gaussian 7: mean = 4943.1074, variance = 8119698.0923, prior = 0.1110
Gaussian 8: mean = 5143.8961, variance = 8127364.9297, prior = 0.1103
Gaussian 9: mean = 5010.0895, variance = 8131215.5177, prior = 0.1111

After iteration 15:
Gaussian 1: mean = 4882.7071, variance = 8101611.4072, prior = 0.1121
Gaussian 2: mean = 4487.5643, variance = 7807937.1956, prior = 0.1112
Gaussian 3: mean = 5327.5697, variance = 8064032.9614, prior = 0.1110
Gaussian 4: mean = 4646.1674, variance = 7961787.3560, prior = 0.1111
Gaussian 5: mean = 5259.7247, variance = 8095190.8913, prior = 0.1112
Gaussian 6: mean = 4840.0964, variance = 8084517.7731, prior = 0.1110
Gaussian 7: mean = 4944.3186, variance = 8119954.2345, prior = 0.1110
Gaussian 8: mean = 5145.2153, variance = 8127126.5765, prior = 0.1103
Gaussian 9: mean = 5011.3772, variance = 8131319.1956, prior = 0.1111

After iteration 16:
Gaussian 1: mean = 4883.7562, variance = 8101953.4049, prior = 0.1121
Gaussian 2: mean = 4479.9900, variance = 7799381.4825, prior = 0.1112
Gaussian 3: mean = 5329.7751, variance = 8062840.4647, prior = 0.1110
Gaussian 4: mean = 4644.0605, variance = 7960019.2269, prior = 0.1111
Gaussian 5: mean = 5261.4157, variance = 8094496.4278, prior = 0.1112
Gaussian 6: mean = 4840.8951, variance = 8084838.2089, prior = 0.1110
Gaussian 7: mean = 4945.5698, variance = 8120215.5802, prior = 0.1110
Gaussian 8: mean = 5146.5733, variance = 8126873.3457, prior = 0.1103
Gaussian 9: mean = 5012.7029, variance = 8131421.7261, prior = 0.1111

After iteration 17:
Gaussian 1: mean = 4884.8501, variance = 8102306.8503, prior = 0.1121
Gaussian 2: mean = 4472.1054, variance = 7790362.6784, prior = 0.1112
Gaussian 3: mean = 5332.0420, variance = 8061604.0797, prior = 0.1110
Gaussian 4: mean = 4641.9409, variance = 7958229.2021, prior = 0.1111
Gaussian 5: mean = 5263.1557, variance = 8093774.7095, prior = 0.1112
Gaussian 6: mean = 4841.7392, variance = 8085174.4727, prior = 0.1110
Gaussian 7: mean = 4946.8635, variance = 8120481.6004, prior = 0.1110
Gaussian 8: mean = 5147.9725, variance = 8126605.9765, prior = 0.1103
Gaussian 9: mean = 5014.0691, variance = 8131522.5214, prior = 0.1111

After iteration 18:
Gaussian 1: mean = 4885.9914, variance = 8102672.0006, prior = 0.1121
Gaussian 2: mean = 4463.8895, variance = 7780842.6730, prior = 0.1112
Gaussian 3: mean = 5334.3738, variance = 8060320.5401, prior = 0.1110
Gaussian 4: mean = 4639.8103, variance = 7956418.3415, prior = 0.1111
Gaussian 5: mean = 5264.9477, variance = 8093023.7370, prior = 0.1112
Gaussian 6: mean = 4842.6316, variance = 8085527.5373, prior = 0.1109
Gaussian 7: mean = 4948.2022, variance = 8120752.0711, prior = 0.1110
Gaussian 8: mean = 5149.4155, variance = 8126324.1198, prior = 0.1103
Gaussian 9: mean = 5015.4783, variance = 8131621.1168, prior = 0.1111

After iteration 19:
Gaussian 1: mean = 4887.1830, variance = 8103049.2074, prior = 0.1121
Gaussian 2: mean = 4455.3191, variance = 7770779.2304, prior = 0.1112
Gaussian 3: mean = 5336.7744, variance = 8058986.4891, prior = 0.1110
Gaussian 4: mean = 4637.6704, variance = 7954587.8490, prior = 0.1111
Gaussian 5: mean = 5266.7949, variance = 8092241.3478, prior = 0.1112
Gaussian 6: mean = 4843.5753, variance = 8085898.2832, prior = 0.1109
Gaussian 7: mean = 4949.5887, variance = 8121026.8812, prior = 0.1110
Gaussian 8: mean = 5150.9052, variance = 8126026.8991, prior = 0.1103
